2025-11-26T10:08:45.000000000Z [inf]  Starting Container
2025-11-26T10:10:19.579699423Z [err]    requestBody: { files: [], json: { type: 4, data: [Object] } },
2025-11-26T10:10:19.579706349Z [err]    rawError: {
2025-11-26T10:10:19.579713080Z [err]      message: 'Interaction has already been acknowledged.',
2025-11-26T10:10:19.579720671Z [err]      code: 40060
2025-11-26T10:10:19.579727952Z [err]    },
2025-11-26T10:10:19.579733982Z [err]    code: 40060,
2025-11-26T10:10:19.579779654Z [err]    status: 400,
2025-11-26T10:10:19.579786465Z [err]    method: 'POST',
2025-11-26T10:10:19.579793592Z [err]    url: 'https://discord.com/api/v10/interactions/1443182044481064970/aW50ZXJhY3Rpb246MTQ0MzE4MjA0NDQ4MTA2NDk3MDpNQlAxaHEwb3d6SWc3UTRJYXJlQ1lobjhIVGQ0QXBFa1ZyM3BnR1Y0WXRrR2o4OXQ4WExxWVMwaUg4YXRUeEpVNEF3SUV1eWFvUDhzamVIYkpRZWRKWmVuNHYyTDRjc3Fxam54enNtTmd4Q1hpa1l3c1U3VldEUXRTZ1hpWnA3Qg/callback?with_response=false'
2025-11-26T10:10:21.180579277Z [err]    rawError: {
2025-11-26T10:10:21.180598120Z [err]      message: 'Interaction has already been acknowledged.',
2025-11-26T10:10:21.180610430Z [err]      code: 40060
2025-11-26T10:10:21.180620006Z [err]    },
2025-11-26T10:10:21.180629504Z [err]    code: 40060,
2025-11-26T10:10:21.180639391Z [err]    status: 400,
2025-11-26T10:10:21.180647857Z [err]    method: 'POST',
2025-11-26T10:10:21.180657801Z [err]    url: 'https://discord.com/api/v10/interactions/1443182044481064970/aW50ZXJhY3Rpb246MTQ0MzE4MjA0NDQ4MTA2NDk3MDpNQlAxaHEwb3d6SWc3UTRJYXJlQ1lobjhIVGQ0QXBFa1ZyM3BnR1Y0WXRrR2o4OXQ4WExxWVMwaUg4YXRUeEpVNEF3SUV1eWFvUDhzamVIYkpRZWRKWmVuNHYyTDRjc3Fxam54enNtTmd4Q1hpa1l3c1U3VldEUXRTZ1hpWnA3Qg/callback?with_response=false'
2025-11-26T10:10:21.180668169Z [err]  }
2025-11-26T10:10:21.181526960Z [err]  }
2025-11-26T10:10:21.181535074Z [err]  Could not send error reply: DiscordAPIError[40060]: Interaction has already been acknowledged.
2025-11-26T10:10:21.181542198Z [err]      at handleErrors (/app/node_modules/@discordjs/rest/dist/index.js:762:13)
2025-11-26T10:10:21.181549879Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
2025-11-26T10:10:21.181560123Z [err]      at async BurstHandler.runRequest (/app/node_modules/@discordjs/rest/dist/index.js:866:23)
2025-11-26T10:10:21.181569008Z [err]      at async _REST.request (/app/node_modules/@discordjs/rest/dist/index.js:1307:22)
2025-11-26T10:10:21.181576927Z [err]      at async ChatInputCommandInteraction.reply (/app/node_modules/discord.js/src/structures/interfaces/InteractionResponses.js:193:22)
2025-11-26T10:10:21.181584734Z [err]      at async handleBanLink (file:///app/dist/index.js:2501:7)
2025-11-26T10:10:21.181593204Z [err]      at async Client.<anonymous> (file:///app/dist/index.js:962:9) {
2025-11-26T10:10:21.181601645Z [err]    requestBody: { files: [], json: { type: 4, data: [Object] } },
2025-11-26T10:11:12.316669159Z [err]  (node:20) Warning: Supplying "ephemeral" for interaction response options is deprecated. Utilize flags instead.
2025-11-26T10:11:12.316677160Z [inf]  Could not send DM to user
2025-11-26T10:11:12.316690849Z [err]  Failed to cascade ban to child servers: DiscordAPIError[10004]: Unknown Guild
2025-11-26T10:11:12.316696476Z [err]      at handleErrors (/app/node_modules/@discordjs/rest/dist/index.js:762:13)
2025-11-26T10:11:12.316704688Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
2025-11-26T10:11:12.316711386Z [err]      at async SequentialHandler.runRequest (/app/node_modules/@discordjs/rest/dist/index.js:1163:23)
2025-11-26T10:11:12.316718315Z [err]      at async SequentialHandler.queueRequest (/app/node_modules/@discordjs/rest/dist/index.js:994:14)
2025-11-26T10:11:12.316724156Z [err]      at async _REST.request (/app/node_modules/@discordjs/rest/dist/index.js:1307:22)
2025-11-26T10:11:12.316730725Z [err]      at async GuildManager.fetch (/app/node_modules/discord.js/src/managers/GuildManager.js:276:20)
2025-11-26T10:11:12.316738658Z [err]      at async handleBan (file:///app/dist/index.js:1389:28)
2025-11-26T10:11:12.316744070Z [err]      at async Client.<anonymous> (file:///app/dist/index.js:895:9) {
2025-11-26T10:11:12.316750075Z [err]    requestBody: { files: undefined, json: undefined },
2025-11-26T10:11:12.316755800Z [err]    rawError: { message: 'Unknown Guild', code: 10004 },
2025-11-26T10:11:12.316761639Z [err]    code: 10004,
2025-11-26T10:11:12.316768671Z [err]    status: 404,
2025-11-26T10:11:12.316774985Z [err]    method: 'GET',
2025-11-26T10:11:12.316781412Z [err]    url: 'https://discord.com/api/v10/guilds/1308761613851168788?with_counts=true'
2025-11-26T10:11:12.316789725Z [err]  }
2025-11-26T10:11:12.316795984Z [inf]  User SecureNet#7790 banned by sea8484: test
