2025-11-26T12:46:36.000000000Z [inf]  Starting Container
2025-11-26T12:46:37.965958027Z [inf]  Discord bot logged in as ᴀᴇɢɪꜱ ᴛᴇᴄʜ#4171
2025-11-26T12:46:37.965966009Z [err]  (node:20) DeprecationWarning: The ready event has been renamed to clientReady to distinguish it from the gateway READY event and will only emit under that name in v15. Please use clientReady instead.
2025-11-26T12:46:37.965978681Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2025-11-26T12:47:37.998516499Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:47:37.998524247Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:47:37.998530683Z [inf]  12:47:32 PM [express] GET /api/auth/me 304 in 69ms :: {"id":"579180906833641474:1441447050024714252",…
2025-11-26T12:47:37.998537380Z [inf]  12:47:32 PM [express] GET /api/moderation/banned-users 304 in 202ms :: {"bans":[]}
2025-11-26T12:48:37.986226482Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:48:37.986236104Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:48:37.986244103Z [inf]  12:48:32 PM [express] GET /api/auth/me 304 in 66ms :: {"id":"579180906833641474:1441447050024714252",…
2025-11-26T12:48:37.986253437Z [inf]  12:48:32 PM [express] GET /api/moderation/banned-users 304 in 195ms :: {"bans":[]}
2025-11-26T12:49:37.966861945Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:49:37.966871720Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:49:37.966881123Z [inf]  12:49:32 PM [express] GET /api/auth/me 304 in 68ms :: {"id":"579180906833641474:1441447050024714252",…
2025-11-26T12:49:37.966887797Z [inf]  12:49:32 PM [express] GET /api/moderation/banned-users 304 in 194ms :: {"bans":[]}
2025-11-26T12:50:38.098803057Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:50:38.098814241Z [inf]  Auth: User from session (Discord): { id: '579180906833641474:1441447050024714252', role: 'Overseer' }
2025-11-26T12:50:38.098821575Z [inf]  12:50:32 PM [express] GET /api/auth/me 304 in 66ms :: {"id":"579180906833641474:1441447050024714252",…
2025-11-26T12:50:38.098828341Z [inf]  12:50:32 PM [express] GET /api/moderation/banned-users 304 in 193ms :: {"bans":[]}
